sku_number,sku_description,priority_band,operator_decision,operator_action,order_units,selected_demand_units,raw_stock_gap_units,projected_stock_gap_units,order_reason_code,stock_position_status,demand_forecast_confidence,reason_short,audit_notes,has_explicit_hard_blocker
55245,Garn Micellar Water Rose 400Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,14,14,blocked_by_manual_review,SHORT_AT_PROMO_START,LOW,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=14; recommended_units=0; confidence_pct=37,True
478354,Es Long Lasting Eye Pencil 01,REVIEW,NO_PRIOR_PROMO_EVIDENCE_LOW_SOH_REVIEW,REVIEW,0,1,14,14,blocked_by_manual_review,SHORT_AT_PROMO_START,HIGH,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; order_reason=blocked_by_manual_review; demand=NEVER_SOLD_IN_PROMO; stock_position=SHORT_AT_PROMO_START; raw_gap=14; recommended_units=0; confidence_pct=67,True
16527,Loreal R/Lift Eye/Fl Tub 15Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,12,12,blocked_by_manual_review,SHORT_AT_PROMO_START,LOW,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=12; recommended_units=0; confidence_pct=28,True
192118,Olay Hyaluron Cream 50G,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,12,12,blocked_by_manual_review,SHORT_AT_PROMO_START,HIGH,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=12; recommended_units=0; confidence_pct=67,True
73263,Thayers Rose Petal Toner 355Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,12,12,blocked_by_manual_review,SHORT_AT_PROMO_START,LOW,Policy review override: policy_stock_gap_high.,review=policy_stock_gap_high; blocker=policy_stock_gap_high; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=12; recommended_units=0; confidence_pct=28,True
93993,May Face Lift Stix 65 Nu Int,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,12,12,blocked_by_manual_review,SHORT_AT_PROMO_START,HIGH,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=12; recommended_units=0; confidence_pct=67,True
90462,Mf Mp Wow Liner Emerald Green,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,12,12,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=12; recommended_units=0; confidence_pct=57,True
90432,Rim Wonder'Ink Liner Chestnut,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,12,12,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=12; recommended_units=0; confidence_pct=64,True
90990,Catr Slmmtc Wp Brow Pen 050,REVIEW,NO_PRIOR_PROMO_EVIDENCE_LOW_SOH_REVIEW,REVIEW,0,1,12,12,blocked_by_manual_review,SHORT_AT_PROMO_START,HIGH,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; order_reason=blocked_by_manual_review; demand=NEVER_SOLD_IN_PROMO; stock_position=SHORT_AT_PROMO_START; raw_gap=12; recommended_units=0; confidence_pct=67,True
194014,Csc Dly Clarifying Soln 100Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,11,11,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Policy review override: policy_falling_base_launch_total_conflict.,review=policy_falling_base_launch_total_conflict; order_reason=blocked_by_manual_review; demand=NEVER_SOLD_IN_PROMO; stock_position=SHORT_AT_PROMO_START; raw_gap=11; recommended_units=0; confidence_pct=54,True
193696,Mf 2000 Cal Pro Masc Black,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,11,11,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=11; recommended_units=0; confidence_pct=57,True
94071,Npmu Smushy Mte Lb Swipe 2 Sm,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,11,11,blocked_by_manual_review,SHORT_AT_PROMO_START,HIGH,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=11; recommended_units=0; confidence_pct=67,True
67700,Rim Lst Fin L/L Epic Brgnd,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,11,11,blocked_by_manual_review,SHORT_AT_PROMO_START,HIGH,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=11; recommended_units=0; confidence_pct=67,True
365033,Palmol Lhw Foam Pump Lime 250,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,11,11,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=11; recommended_units=0; confidence_pct=52,True
90933,Cetaphil Pro S&Rep Crm 226G,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,10,10,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Policy review override: policy_stock_gap_high.,review=policy_stock_gap_high; blocker=policy_stock_gap_high; order_reason=blocked_by_manual_review; demand=NEVER_SOLD_IN_PROMO; stock_position=SHORT_AT_PROMO_START; raw_gap=10; recommended_units=0; confidence_pct=44,True
96608,Npmu Make Em Wndr Fdn Nude,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,10,10,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Policy review override: policy_falling_base_launch_total_conflict.,review=policy_falling_base_launch_total_conflict; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=10; recommended_units=0; confidence_pct=63,True
193213,May Ls Sky High Primer,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,10,10,blocked_by_manual_review,SHORT_AT_PROMO_START,HIGH,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=10; recommended_units=0; confidence_pct=67,True
189518,Npmu Butter Lg Bit Of Honey,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,10,10,blocked_by_manual_review,SHORT_AT_PROMO_START,HIGH,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=10; recommended_units=0; confidence_pct=67,True
97057,Wafgi Sen S/Screen Spf50 200Ml,REVIEW,NO_PRIOR_PROMO_EVIDENCE_LOW_SOH_REVIEW,REVIEW,0,1,9,9,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; order_reason=blocked_by_manual_review; demand=NEVER_SOLD_IN_PROMO; stock_position=SHORT_AT_PROMO_START; raw_gap=9; recommended_units=0; confidence_pct=63,True
194049,Csc Moisture+ Eye Gel 15Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,8,8,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Policy review override: policy_falling_base_launch_total_conflict.,review=policy_falling_base_launch_total_conflict; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=8; recommended_units=0; confidence_pct=47,True
194020,Csc Brightening Serum 30Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,8,8,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Policy review override: policy_falling_base_launch_total_conflict.,review=policy_falling_base_launch_total_conflict; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=8; recommended_units=0; confidence_pct=55,True
97058,Wafgi Sen S/Screen Spf50 400Ml,REVIEW,NO_PRIOR_PROMO_EVIDENCE_LOW_SOH_REVIEW,REVIEW,0,1,8,8,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; order_reason=blocked_by_manual_review; demand=NEVER_SOLD_IN_PROMO; stock_position=SHORT_AT_PROMO_START; raw_gap=8; recommended_units=0; confidence_pct=63,True
194050,Csc Brightening Eye Cream 15Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,8,8,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Policy review override: policy_falling_base_launch_total_conflict.,review=policy_falling_base_launch_total_conflict; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=8; recommended_units=0; confidence_pct=54,True
90794,Antipodes Menopause Cream 60Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,8,8,blocked_by_manual_review,SHORT_AT_PROMO_START,HIGH,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=8; recommended_units=0; confidence_pct=69,True
41206,Olay Whips Regnrst Fce Crm 50G,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,8,8,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=8; recommended_units=0; confidence_pct=64,True
194017,Csc Micropolish Powder 60G,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,8,8,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Policy review override: policy_falling_base_launch_total_conflict.,review=policy_falling_base_launch_total_conflict; order_reason=blocked_by_manual_review; demand=NEVER_SOLD_IN_PROMO; stock_position=SHORT_AT_PROMO_START; raw_gap=8; recommended_units=0; confidence_pct=55,True
62854,Olay Luminous Hyaluronic Serum,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,8,8,blocked_by_manual_review,SHORT_AT_PROMO_START,HIGH,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=8; recommended_units=0; confidence_pct=69,True
94532,No7 Runway Ready Brow Gel Clea,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,8,8,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; order_reason=blocked_by_manual_review; demand=NEVER_SOLD_IN_PROMO; stock_position=SHORT_AT_PROMO_START; raw_gap=8; recommended_units=0; confidence_pct=52,True
57316,Olay Regen Ret Night Eye 15Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,8,8,blocked_by_manual_review,SHORT_AT_PROMO_START,HIGH,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=8; recommended_units=0; confidence_pct=68,True
94807,No7 Artist Liquid Blush Coral,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,8,8,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=8; recommended_units=0; confidence_pct=54,True
184615,Ariana Cloud Body Mist 236Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,8,8,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=8; recommended_units=0; confidence_pct=56,True
188943,Ariana Moonlight B/Mist 236Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,8,8,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=8; recommended_units=0; confidence_pct=56,True
97120,Wafgi Zinc Light Spf50+ 50G,REVIEW,NO_PRIOR_PROMO_EVIDENCE_LOW_SOH_REVIEW,REVIEW,0,1,8,8,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; order_reason=blocked_by_manual_review; demand=NEVER_SOLD_IN_PROMO; stock_position=SHORT_AT_PROMO_START; raw_gap=8; recommended_units=0; confidence_pct=63,True
94537,No7 Lip Oil Strawberry Glaze,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,8,8,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; order_reason=blocked_by_manual_review; demand=NEVER_SOLD_IN_PROMO; stock_position=SHORT_AT_PROMO_START; raw_gap=8; recommended_units=0; confidence_pct=59,True
195519,Mf Fcefnty Cmpct 002,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,8,8,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=8; recommended_units=0; confidence_pct=57,True
46574,Tena Pants Disc Super Lge 8Pk,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,8,8,blocked_by_manual_review,SHORT_AT_PROMO_START,LOW,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=8; recommended_units=0; confidence_pct=38,True
97059,Wafgi Groms S/Screen Spf50,REVIEW,NO_PRIOR_PROMO_EVIDENCE_LOW_SOH_REVIEW,REVIEW,0,1,8,8,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; order_reason=blocked_by_manual_review; demand=NEVER_SOLD_IN_PROMO; stock_position=SHORT_AT_PROMO_START; raw_gap=8; recommended_units=0; confidence_pct=63,True
94889,No7 12 Hour Artist Pencil Nois,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,8,8,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Policy review override: policy_sparse_history_multi_driver.,review=policy_sparse_history_multi_driver; blocker=policy_sparse_history_multi_driver; order_reason=blocked_by_manual_review; demand=NEVER_SOLD_IN_PROMO; stock_position=SHORT_AT_PROMO_START; raw_gap=8; recommended_units=0; confidence_pct=56,True
43878,Clairol Rtu Powder Light Brown,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,8,8,blocked_by_manual_review,SHORT_AT_PROMO_START,LOW,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=8; recommended_units=0; confidence_pct=34,True
68266,Coco&Eve Bronze Foam Medium,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,8,8,blocked_by_manual_review,SHORT_AT_PROMO_START,HIGH,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=8; recommended_units=0; confidence_pct=72,True
68268,Coco&Eve Bronze Foam Ult/Dark,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,8,8,blocked_by_manual_review,SHORT_AT_PROMO_START,HIGH,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=8; recommended_units=0; confidence_pct=72,True
192839,Coco&Eve Face Tan M/Mist 75Ml,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,8,8,blocked_by_manual_review,SHORT_AT_PROMO_START,HIGH,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=8; recommended_units=0; confidence_pct=72,True
806463,Olay T/Eff+ Normal Moist 50G,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,8,8,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=8; recommended_units=0; confidence_pct=65,True
731188,Olay T/Eff+ Gntl Spf Moist 50G,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,8,8,blocked_by_manual_review,SHORT_AT_PROMO_START,MEDIUM,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=8; recommended_units=0; confidence_pct=65,True
193126,Npmu Ult Es Pal I Know Tha,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,8,8,blocked_by_manual_review,SHORT_AT_PROMO_START,HIGH,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=8; recommended_units=0; confidence_pct=67,True
191180,May Superstay Glow Tint 05,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,8,8,blocked_by_manual_review,SHORT_AT_PROMO_START,HIGH,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=8; recommended_units=0; confidence_pct=69,True
198728,May Sst Lumi Matte Fnd 108,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,8,8,blocked_by_manual_review,SHORT_AT_PROMO_START,HIGH,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=8; recommended_units=0; confidence_pct=67,True
198735,May Sst Lumi Matte Fnd 140,REVIEW,LOW_SOH_NO_AUTO_BUY,REVIEW,0,1,8,8,blocked_by_manual_review,SHORT_AT_PROMO_START,HIGH,Forecast requires manager review.,review=Forecast requires manager review; order_reason=blocked_by_manual_review; demand=PROMO_DEMAND_PRESENT; stock_position=SHORT_AT_PROMO_START; raw_gap=8; recommended_units=0; confidence_pct=67,True
