feature_name,feature_family,issue_type,severity,affected_rows,likely_root_cause,recommended_fix,source_module_to_check,can_use_as_model_input_now_flag,expected_value_if_fixed
shadow_policy_candidate_flag,shadow_brain,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
shadow_policy_segment,shadow_brain,DATE_DETECTION_FALSE_POSITIVE,LOW,51,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
shadow_policy_order_units,shadow_brain,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
shadow_policy_capital_at_risk,shadow_brain,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
shadow_policy_expected_reason,shadow_brain,DATE_DETECTION_FALSE_POSITIVE,LOW,51,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
shadow_policy_guardrail_status,shadow_brain,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
shadow_policy_blocker_reason,shadow_brain,DATE_DETECTION_FALSE_POSITIVE,LOW,3480,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
shadow_policy_should_publish_flag,shadow_brain,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
shadow_policy_should_affect_final_order_flag,shadow_brain,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
order_reconciliation_status,other,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
order_reconciliation_reason,other,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
decision_reason,other,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
recommended_order_units,other,PLACEHOLDER_ALL_ZERO,MEDIUM,3531,All-zero placeholder detected,Replace placeholder with UNKNOWN or repair calculation,feature_engineering,NO,Meaningful non-zero signal or explicit UNKNOWN
capital_at_risk_adjusted_dollars,other,EXTREME_RATIO_EXPLOSION,HIGH,3531,Ratio or elasticity estimate exploded,Apply winsorise/cap policy before model input,elasticity_estimator / ratio_features,REVIEW,Bounded elasticity/ratio in plausible range
model_reason_summary,other,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
days_until_action,other,PLACEHOLDER_ALL_ZERO,MEDIUM,3531,All-zero placeholder detected,Replace placeholder with UNKNOWN or repair calculation,feature_engineering,NO,Meaningful non-zero signal or explicit UNKNOWN
buy_now_flag,other,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
watch_flag,other,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
do_not_buy_flag,other,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
on_order_units,other,LEAKAGE_RISK,HIGH,3531,Field resembles target/action/post-promo outcome,Block from model; allow diagnostics only,promo_brain_leakage_audit,NO,Populated values with acceptable missingness
demand_evidence_class,other,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
historical_promo_response_summary,prior_promo_history,TEXT_FIELD_NEEDS_ENCODING_POLICY,LOW,3531,High-cardinality text needs policy,"Hash, bucket, or exclude from model",promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
discount_response_summary,other,TEXT_FIELD_NEEDS_ENCODING_POLICY,LOW,3531,High-cardinality text needs policy,"Hash, bucket, or exclude from model",promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
promotion_backtest_within_10pct_flag,promotion_backtest,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
promotion_backtest_mean_absolute_pct_error,promotion_backtest,LEAKAGE_RISK,HIGH,3531,Field resembles target/action/post-promo outcome,Block from model; allow diagnostics only,promo_brain_leakage_audit,NO,Populated values with acceptable missingness
promotion_backtest_bias_class,promotion_backtest,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
promotion_backtest_comparable_event_count,promotion_backtest,LEAKAGE_RISK,HIGH,3531,Field resembles target/action/post-promo outcome,Block from model; allow diagnostics only,promo_brain_leakage_audit,NO,Populated values with acceptable missingness
stockout_risk_reason,other,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
estimated_leftover_units,other,LEAKAGE_RISK,HIGH,3531,Field resembles target/action/post-promo outcome,Block from model; allow diagnostics only,promo_brain_leakage_audit,NO,Populated values with acceptable missingness
estimated_leftover_cost_dollars,other,LEAKAGE_RISK,HIGH,3531,Field resembles target/action/post-promo outcome,Block from model; allow diagnostics only,promo_brain_leakage_audit,NO,Populated values with acceptable missingness
target_end_days_cover,target,PLACEHOLDER_ALL_ZERO,MEDIUM,3531,All-zero placeholder detected,Replace placeholder with UNKNOWN or repair calculation,feature_engineering,NO,Meaningful non-zero signal or explicit UNKNOWN
cashflow_runoff_status,other,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
trust_floor_status,other,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
units_needed_for_high_demand_cover,other,PLACEHOLDER_ALL_ZERO,MEDIUM,3531,All-zero placeholder detected,Replace placeholder with UNKNOWN or repair calculation,feature_engineering,NO,Meaningful non-zero signal or explicit UNKNOWN
units_above_trust_target,other,LEAKAGE_RISK,HIGH,3531,Field resembles target/action/post-promo outcome,Block from model; allow diagnostics only,promo_brain_leakage_audit,NO,Populated values with acceptable missingness
capital_tied_above_trust_target,other,LEAKAGE_RISK,HIGH,3531,Field resembles target/action/post-promo outcome,Block from model; allow diagnostics only,promo_brain_leakage_audit,NO,Populated values with acceptable missingness
recommended_order_value,other,PLACEHOLDER_ALL_ZERO,MEDIUM,3531,All-zero placeholder detected,Replace placeholder with UNKNOWN or repair calculation,feature_engineering,NO,Meaningful non-zero signal or explicit UNKNOWN
data_quality_flag,other,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
promotion_row_key,identity,TEXT_FIELD_NEEDS_ENCODING_POLICY,LOW,3531,High-cardinality text needs policy,"Hash, bucket, or exclude from model",promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
feature_offer_strength_score,feature_engineered,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
feature_low_ticket_flag,feature_engineered,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
feature_mid_ticket_flag,feature_engineered,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
feature_high_ticket_flag,feature_engineered,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
feature_offer_text_percent_flag,feature_engineered,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
feature_offer_text_amount_flag,feature_engineered,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
feature_offer_text_multi_buy_flag,feature_engineered,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
feature_offer_text_bonus_flag,feature_engineered,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
feature_catalogue_position_score,feature_engineered,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
feature_catalogue_top_quartile_flag,feature_engineered,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
feature_catalogue_front_half_flag,feature_engineered,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
feature_rebate_dependency_score,feature_engineered,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
feature_unit_profit_after_fees,feature_engineered,LEAKAGE_RISK,HIGH,3531,Field resembles target/action/post-promo outcome,Block from model; allow diagnostics only,promo_brain_leakage_audit,NO,Populated values with acceptable missingness
feature_capital_at_risk,feature_engineered,EXTREME_RATIO_EXPLOSION,HIGH,3531,Ratio or elasticity estimate exploded,Apply winsorise/cap policy before model input,elasticity_estimator / ratio_features,REVIEW,Bounded elasticity/ratio in plausible range
feature_profit_risk_asymmetry,feature_engineered,EXTREME_RATIO_EXPLOSION,HIGH,3531,Ratio or elasticity estimate exploded,Apply winsorise/cap policy before model input,elasticity_estimator / ratio_features,REVIEW,Bounded elasticity/ratio in plausible range
feature_gmroi_regime_score,feature_engineered,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
feature_allocation_vs_baseline_demand_ratio,feature_engineered,EXTREME_RATIO_EXPLOSION,HIGH,3531,Ratio or elasticity estimate exploded,Apply winsorise/cap policy before model input,elasticity_estimator / ratio_features,REVIEW,Bounded elasticity/ratio in plausible range
feature_allocation_vs_required_implied_demand_ratio,feature_engineered,EXTREME_RATIO_EXPLOSION,HIGH,3531,Ratio or elasticity estimate exploded,Apply winsorise/cap policy before model input,elasticity_estimator / ratio_features,REVIEW,Bounded elasticity/ratio in plausible range
feature_total_stock_pressure_ratio,feature_engineered,EXTREME_RATIO_EXPLOSION,HIGH,3531,Ratio or elasticity estimate exploded,Apply winsorise/cap policy before model input,elasticity_estimator / ratio_features,REVIEW,Bounded elasticity/ratio in plausible range
feature_stock_to_promo_days_ratio,feature_engineered,EXTREME_RATIO_EXPLOSION,HIGH,3531,Ratio or elasticity estimate exploded,Apply winsorise/cap policy before model input,elasticity_estimator / ratio_features,REVIEW,Bounded elasticity/ratio in plausible range
feature_baseline_volatility_cv,feature_engineered,PLACEHOLDER_ALL_ZERO,MEDIUM,3531,All-zero placeholder detected,Replace placeholder with UNKNOWN or repair calculation,feature_engineering,NO,Meaningful non-zero signal or explicit UNKNOWN
feature_short_vs_long_baseline_acceleration,feature_engineered,PLACEHOLDER_ALL_ZERO,MEDIUM,3531,All-zero placeholder detected,Replace placeholder with UNKNOWN or repair calculation,feature_engineering,NO,Meaningful non-zero signal or explicit UNKNOWN
feature_recent_acceleration_ratio,feature_engineered,PLACEHOLDER_ALL_ZERO,MEDIUM,3531,All-zero placeholder detected,Replace placeholder with UNKNOWN or repair calculation,feature_engineering,NO,Meaningful non-zero signal or explicit UNKNOWN
feature_required_vs_baseline_demand_gap,feature_engineered,PLACEHOLDER_ALL_ZERO,MEDIUM,3531,All-zero placeholder detected,Replace placeholder with UNKNOWN or repair calculation,feature_engineering,NO,Meaningful non-zero signal or explicit UNKNOWN
feature_sales_velocity_ratio_short_to_long,feature_engineered,PLACEHOLDER_ALL_ZERO,MEDIUM,3531,All-zero placeholder detected,Replace placeholder with UNKNOWN or repair calculation,feature_engineering,NO,Meaningful non-zero signal or explicit UNKNOWN
feature_pre_promo_sales_per_selling_day,feature_engineered,PLACEHOLDER_ALL_ZERO,MEDIUM,3531,All-zero placeholder detected,Replace placeholder with UNKNOWN or repair calculation,feature_engineering,NO,Meaningful non-zero signal or explicit UNKNOWN
feature_slow_seller_flag,feature_engineered,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
feature_medium_seller_flag,feature_engineered,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
feature_fast_seller_flag,feature_engineered,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
feature_history_regime_score,feature_engineered,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
feature_prior_promo_14d_flag,feature_engineered,PLACEHOLDER_ALL_ZERO,MEDIUM,3531,Prior-promo aggregation returned zeros,Check prior promotion event matching logic,prior_promo_feature_builder,NO,Meaningful non-zero signal or explicit UNKNOWN
feature_prior_promo_28d_flag,feature_engineered,PLACEHOLDER_ALL_ZERO,MEDIUM,3531,Prior-promo aggregation returned zeros,Check prior promotion event matching logic,prior_promo_feature_builder,NO,Meaningful non-zero signal or explicit UNKNOWN
feature_prior_promo_56d_flag,feature_engineered,PLACEHOLDER_ALL_ZERO,MEDIUM,3531,Prior-promo aggregation returned zeros,Check prior promotion event matching logic,prior_promo_feature_builder,NO,Meaningful non-zero signal or explicit UNKNOWN
feature_prior_promo_units_14d,feature_engineered,PLACEHOLDER_ALL_ZERO,MEDIUM,3531,Prior-promo aggregation returned zeros,Check prior promotion event matching logic,prior_promo_feature_builder,NO,Meaningful non-zero signal or explicit UNKNOWN
feature_prior_promo_units_28d,feature_engineered,PLACEHOLDER_ALL_ZERO,MEDIUM,3531,Prior-promo aggregation returned zeros,Check prior promotion event matching logic,prior_promo_feature_builder,NO,Meaningful non-zero signal or explicit UNKNOWN
feature_prior_promo_units_56d,feature_engineered,PLACEHOLDER_ALL_ZERO,MEDIUM,3531,Prior-promo aggregation returned zeros,Check prior promotion event matching logic,prior_promo_feature_builder,NO,Meaningful non-zero signal or explicit UNKNOWN
feature_prior_same_or_better_discount_14d_flag,feature_engineered,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
feature_prior_same_or_better_discount_28d_flag,feature_engineered,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
feature_prior_same_or_better_discount_56d_flag,feature_engineered,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
feature_prior_same_or_better_discount_units_56d,feature_engineered,PLACEHOLDER_ALL_ZERO,MEDIUM,3531,All-zero placeholder detected,Replace placeholder with UNKNOWN or repair calculation,feature_engineering,NO,Meaningful non-zero signal or explicit UNKNOWN
feature_prior_promo_price_memory_score,feature_engineered,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
feature_prior_promo_discount_memory_score,feature_engineered,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
feature_prior_promo_cannibalisation_risk_score,feature_engineered,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
feature_order_evidence_quality_score,feature_engineered,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
feature_overallocation_risk_score,feature_engineered,DATE_DETECTION_FALSE_POSITIVE,LOW,3531,Flag/label column misclassified as date,Exclude from date parsing; treat as categorical flag,promo_feature_universe_quality,REVIEW,Populated values with acceptable missingness
feature_historical_comparable_promo_event_count,feature_historical,FAILED_JOIN,HIGH,3531,Historical window join missing or zero-filled,Verify historical promo window and SKU history availability,promo_historical_features / rolling_history,NO,Non-zero historical promo statistics per SKU
feature_historical_zero_sale_after_buy_rate,feature_historical,FAILED_JOIN,HIGH,0,Historical window join missing or zero-filled,Verify historical promo window and SKU history availability,promo_historical_features / rolling_history,NO,Non-zero historical promo statistics per SKU
feature_same_discount_success_rate_56d,feature_engineered,FULLY_MISSING,HIGH,3531,Column entirely missing — likely failed join,Repair upstream join or drop column,dataset_assembler,NO,Populated values with acceptable missingness
feature_historical_trapped_capital_rate,feature_historical,FAILED_JOIN,HIGH,0,Historical window join missing or zero-filled,Verify historical promo window and SKU history availability,promo_historical_features / rolling_history,NO,Non-zero historical promo statistics per SKU
