operator_priority_group,action_tier,priority_rank,sku_number,sku_description,decision,recommended_order_units,operator_review_order_low_units,operator_review_order_high_units,promo_units_expected_to_sell,current_soh_units,on_order_units,remaining_promo_sales_stock_gap,remaining_end_stock_gap,confidence_score,data_quality_score,commercial_value_score,review_subtype,execution_blocker,reason_demand,reason_stock,reason_order,reason_risk,operator_decision,operator_recommended_units,operator_notes
review_before_order,tier_3_review_evidence_gap,11,96617,Npmu Make Em Wndr Fdn Medium,REVIEW,12,12,66,14.0,10,0,0,54,67,77.0,100.0,review_stock_gap,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 8.0; promo cover required 14.0 units; base-stock required 60.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 6 units; base-stock replenishment gap 60 units; raw model 12; commercial recommended promo 6 + base 6 = 12. Recommendation covers promo sales first; end-stock replenishment remains for review.,Base-stock target is high relative to model order; buyer review required,,,
review_before_order,tier_3_review_evidence_gap,12,91058,Catr Allround Masc Ult Blk 010,REVIEW,14,12,74,14.0,2,0,0,60,67,77.0,100.0,review_stock_gap,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.0; promo cover required 14.0 units; base-stock required 60.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 14 units; base-stock replenishment gap 60 units; raw model 12; commercial recommended promo 14 + base 0 = 14. Recommendation covers promo sales first; end-stock replenishment remains for review.,Base-stock target is high relative to model order; buyer review required,,,
review_before_order,tier_3_review_evidence_gap,13,389404,Nivea Men Apd C/Kick 250Ml,REVIEW,12,12,72,14.0,4,0,0,60,65,77.0,100.0,review_stock_gap,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 2.0; promo cover required 14.0 units; base-stock required 60.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 12 units; base-stock replenishment gap 60 units; raw model 12; commercial recommended promo 12 + base 0 = 12. Recommendation covers promo sales first; end-stock replenishment remains for review.,Base-stock target is high relative to model order; buyer review required,,,
review_before_order,tier_3_review_evidence_gap,14,478354,Es Long Lasting Eye Pencil 01,REVIEW,12,12,60,12.75,10,0,0,48,67,77.0,100.0,review_stock_gap,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 8.2; promo cover required 12.8 units; base-stock required 54.6 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 5 units; base-stock replenishment gap 55 units; raw model 12; commercial recommended promo 5 + base 7 = 12. Recommendation covers promo sales first; end-stock replenishment remains for review.,Base-stock target is high relative to model order; buyer review required,,,
review_before_order,tier_3_review_evidence_gap,15,90990,Catr Slmmtc Wp Brow Pen 050,REVIEW,10,10,54,10.5,3,0,0,44,67,77.0,100.0,review_stock_gap,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 1.5; promo cover required 10.5 units; base-stock required 45.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 9 units; base-stock replenishment gap 45 units; raw model 10; commercial recommended promo 9 + base 1 = 10. Recommendation covers promo sales first; end-stock replenishment remains for review.,Base-stock target is high relative to model order; buyer review required,,,
review_before_order,tier_3_review_evidence_gap,16,365033,Palmol Lhw Foam Pump Lime 250,REVIEW,8,8,47,9.875,6,0,0,39,52,77.0,100.0,review_stock_gap,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 4.6; promo cover required 9.9 units; base-stock required 42.3 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 5 units; base-stock replenishment gap 42 units; raw model 8; commercial recommended promo 5 + base 3 = 8. Recommendation covers promo sales first; end-stock replenishment remains for review.,Base-stock target is high relative to model order; buyer review required,,,
review_before_order,tier_3_review_evidence_gap,17,194014,Csc Dly Clarifying Soln 100Ml,REVIEW,8,8,47,9.25,4,0,0,39,54,77.0,100.0,review_stock_gap,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 2.7; promo cover required 9.2 units; base-stock required 39.6 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 7 units; base-stock replenishment gap 40 units; raw model 8; commercial recommended promo 7 + base 1 = 8. Recommendation covers promo sales first; end-stock replenishment remains for review.,Base-stock target is high relative to model order; buyer review required,,,
review_before_order,tier_3_review_evidence_gap,18,97057,Wafgi Sen S/Screen Spf50 200Ml,REVIEW,7,7,33,8.0,10,0,0,26,63,77.0,100.0,review_base_stock_gap,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 8.9; promo cover required 8.0 units; base-stock required 34.3 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 33 units; raw model 7; commercial recommended promo 0 + base 7 = 7. Recommendation covers promo sales first; end-stock replenishment remains for review.,Base-stock target is high relative to model order; buyer review required,,,
review_before_order,tier_3_review_evidence_gap,19,98024,Rim Thrl Skr Lip Ltx Cap,REVIEW,7,7,35,7.0,3,0,0,28,69,77.0,100.0,review_stock_gap,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 2.0; promo cover required 7.0 units; base-stock required 30.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 5 units; base-stock replenishment gap 30 units; raw model 7; commercial recommended promo 5 + base 2 = 7. Recommendation covers promo sales first; end-stock replenishment remains for review.,Base-stock target is high relative to model order; buyer review required,,,
review_before_order,tier_3_review_evidence_gap,20,91912,Catr Glw Eye&Chk Pal,REVIEW,7,7,36,7.0,2,0,0,29,68,77.0,100.0,review_stock_gap,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 1.0; promo cover required 7.0 units; base-stock required 30.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 6 units; base-stock replenishment gap 30 units; raw model 7; commercial recommended promo 6 + base 1 = 7. Recommendation covers promo sales first; end-stock replenishment remains for review.,Base-stock target is high relative to model order; buyer review required,,,
review_before_order,tier_3_review_evidence_gap,21,88392,Es Drop Of Sunshine Brnz Drops,REVIEW,7,7,34,7.0,4,0,0,27,68,77.0,100.0,review_stock_gap,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 3.0; promo cover required 7.0 units; base-stock required 30.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 4 units; base-stock replenishment gap 30 units; raw model 7; commercial recommended promo 4 + base 3 = 7. Recommendation covers promo sales first; end-stock replenishment remains for review.,Base-stock target is high relative to model order; buyer review required,,,
review_before_order,tier_3_review_evidence_gap,22,96487,May Face Lifter Fdn 325,REVIEW,7,7,36,7.0,2,0,0,29,67,77.0,100.0,review_stock_gap,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 1.0; promo cover required 7.0 units; base-stock required 30.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 6 units; base-stock replenishment gap 30 units; raw model 7; commercial recommended promo 6 + base 1 = 7. Recommendation covers promo sales first; end-stock replenishment remains for review.,Base-stock target is high relative to model order; buyer review required,,,
review_before_order,tier_3_review_evidence_gap,23,96605,Npmu Make Em Wndr Fdn Light,REVIEW,7,7,33,7.0,5,0,0,26,67,77.0,100.0,review_stock_gap,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 4.0; promo cover required 7.0 units; base-stock required 30.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 3 units; base-stock replenishment gap 30 units; raw model 7; commercial recommended promo 3 + base 4 = 7. Recommendation covers promo sales first; end-stock replenishment remains for review.,Base-stock target is high relative to model order; buyer review required,,,
review_before_order,tier_3_review_evidence_gap,24,96624,Npmu Make Em Wndr Fdn Warm Ric,REVIEW,7,7,36,7.0,2,0,0,29,67,77.0,100.0,review_stock_gap,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 1.0; promo cover required 7.0 units; base-stock required 30.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 6 units; base-stock replenishment gap 30 units; raw model 7; commercial recommended promo 6 + base 1 = 7. Recommendation covers promo sales first; end-stock replenishment remains for review.,Base-stock target is high relative to model order; buyer review required,,,
review_before_order,tier_3_review_evidence_gap,25,96604,Npmu Make Em Wndr Fdn Fair Ivo,REVIEW,7,7,36,7.0,2,0,0,29,67,77.0,100.0,review_stock_gap,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 1.0; promo cover required 7.0 units; base-stock required 30.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 6 units; base-stock replenishment gap 30 units; raw model 7; commercial recommended promo 6 + base 1 = 7. Recommendation covers promo sales first; end-stock replenishment remains for review.,Base-stock target is high relative to model order; buyer review required,,,
review_before_order,tier_3_review_evidence_gap,26,91068,Catr Hd Liquid Covrge Fndn 020,REVIEW,7,7,36,7.0,2,0,0,29,67,77.0,100.0,review_stock_gap,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 1.0; promo cover required 7.0 units; base-stock required 30.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 6 units; base-stock replenishment gap 30 units; raw model 7; commercial recommended promo 6 + base 1 = 7. Recommendation covers promo sales first; end-stock replenishment remains for review.,Base-stock target is high relative to model order; buyer review required,,,
review_before_order,tier_3_review_evidence_gap,27,91067,Catr Hd Liquid Covrge Fndn 010,REVIEW,7,7,37,7.0,1,0,0,30,67,77.0,100.0,review_stock_gap,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.0; promo cover required 7.0 units; base-stock required 30.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 7 units; base-stock replenishment gap 30 units; raw model 7; commercial recommended promo 7 + base 0 = 7. Recommendation covers promo sales first; end-stock replenishment remains for review.,Base-stock target is high relative to model order; buyer review required,,,
review_before_order,tier_3_review_evidence_gap,28,96469,May Lifter Conceal 45,REVIEW,7,7,33,7.0,5,0,0,26,67,77.0,100.0,review_stock_gap,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 4.0; promo cover required 7.0 units; base-stock required 30.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 3 units; base-stock replenishment gap 30 units; raw model 7; commercial recommended promo 3 + base 4 = 7. Recommendation covers promo sales first; end-stock replenishment remains for review.,Base-stock target is high relative to model order; buyer review required,,,
review_before_order,tier_3_review_evidence_gap,29,96473,May Lifter Conceal 85,REVIEW,7,7,33,7.0,5,0,0,26,67,77.0,100.0,review_stock_gap,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 4.0; promo cover required 7.0 units; base-stock required 30.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 3 units; base-stock replenishment gap 30 units; raw model 7; commercial recommended promo 3 + base 4 = 7. Recommendation covers promo sales first; end-stock replenishment remains for review.,Base-stock target is high relative to model order; buyer review required,,,
review_before_order,tier_3_review_evidence_gap,30,90457,Rim M.T Brnzcntrsclpt Light,REVIEW,7,7,35,7.0,3,0,0,28,67,77.0,100.0,review_stock_gap,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 2.0; promo cover required 7.0 units; base-stock required 30.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 5 units; base-stock replenishment gap 30 units; raw model 7; commercial recommended promo 5 + base 2 = 7. Recommendation covers promo sales first; end-stock replenishment remains for review.,Base-stock target is high relative to model order; buyer review required,,,
review_before_order,tier_3_review_evidence_gap,31,91037,Catr The Dusty Mte Es Palette,REVIEW,7,7,35,7.0,3,0,0,28,67,77.0,100.0,review_stock_gap,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 2.0; promo cover required 7.0 units; base-stock required 30.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 5 units; base-stock replenishment gap 30 units; raw model 7; commercial recommended promo 5 + base 2 = 7. Recommendation covers promo sales first; end-stock replenishment remains for review.,Base-stock target is high relative to model order; buyer review required,,,
review_before_order,tier_3_review_evidence_gap,32,91874,Catr Shaper Con&Glow Stick 020,REVIEW,7,7,37,7.0,1,0,0,30,67,77.0,100.0,review_stock_gap,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.0; promo cover required 7.0 units; base-stock required 30.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 7 units; base-stock replenishment gap 30 units; raw model 7; commercial recommended promo 7 + base 0 = 7. Recommendation covers promo sales first; end-stock replenishment remains for review.,Base-stock target is high relative to model order; buyer review required,,,
review_before_order,tier_3_review_evidence_gap,33,97132,Rim Thrl Skr Shmr Shk El Jngle,REVIEW,7,7,34,7.0,4,0,0,27,67,77.0,100.0,review_stock_gap,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 3.0; promo cover required 7.0 units; base-stock required 30.0 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 4 units; base-stock replenishment gap 30 units; raw model 7; commercial recommended promo 4 + base 3 = 7. Recommendation covers promo sales first; end-stock replenishment remains for review.,Base-stock target is high relative to model order; buyer review required,,,
rejected_poor_seller,tier_5_do_not_buy,34,89074,Ahc G/C Day+Night Cream 50Ml,DO_NOT_BUY,0,0,4,1.0,1,0,0,4,67,100.0,17.8,none,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.9; promo cover required 1.0 units; base-stock required 4.3 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 0 units; base-stock replenishment gap 4 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Shadow commercial pack; promo cover prioritised over base stock,,,
rejected_poor_seller,tier_5_do_not_buy,35,13652,Plunk Darkspot Erase 30Ml,DO_NOT_BUY,0,0,4,1.0,1,0,0,4,72,100.0,14.9,none,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.9; promo cover required 1.0 units; base-stock required 4.3 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 0 units; base-stock replenishment gap 4 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Shadow commercial pack; promo cover prioritised over base stock,,,
rejected_poor_seller,tier_5_do_not_buy,36,198630,Sun Bum Xl Spf50 Lotion 473Ml,DO_NOT_BUY,0,0,3,1.0,2,0,0,3,72,100.0,14.6,none,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 1.9; promo cover required 1.0 units; base-stock required 4.3 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 3 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Shadow commercial pack; promo cover prioritised over base stock,,,
rejected_poor_seller,tier_5_do_not_buy,37,192620,May Surreal Masc Waterproof,DO_NOT_BUY,0,0,3,1.0,2,0,0,3,67,100.0,14.6,none,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 1.9; promo cover required 1.0 units; base-stock required 4.3 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 3 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Shadow commercial pack; promo cover prioritised over base stock,,,
rejected_poor_seller,tier_5_do_not_buy,38,94576,May Brow Ultra Slim Ash Brown,DO_NOT_BUY,0,0,4,1.0,1,0,0,4,66,100.0,14.6,none,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.9; promo cover required 1.0 units; base-stock required 4.3 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 0 units; base-stock replenishment gap 4 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Shadow commercial pack; promo cover prioritised over base stock,,,
rejected_poor_seller,tier_5_do_not_buy,39,94477,Garn Vit C Liquid Brgtnr 120Ml,DO_NOT_BUY,0,0,4,1.0,1,0,0,4,65,100.0,14.5,none,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.9; promo cover required 1.0 units; base-stock required 4.3 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 0 units; base-stock replenishment gap 4 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Shadow commercial pack; promo cover prioritised over base stock,,,
rejected_poor_seller,tier_5_do_not_buy,40,193612,Sundae Kids Wtrmln Shwfm 222G,DO_NOT_BUY,0,0,4,1.0,1,0,0,4,65,100.0,14.5,none,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.9; promo cover required 1.0 units; base-stock required 4.3 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 0 units; base-stock replenishment gap 4 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Shadow commercial pack; promo cover prioritised over base stock,,,
rejected_poor_seller,tier_5_do_not_buy,41,296780,Garn P/Act 3In1 Clns 150Ml,DO_NOT_BUY,0,0,4,1.0,1,0,0,4,65,100.0,14.5,none,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.9; promo cover required 1.0 units; base-stock required 4.3 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 0 units; base-stock replenishment gap 4 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Shadow commercial pack; promo cover prioritised over base stock,,,
rejected_poor_seller,tier_5_do_not_buy,42,94456,Daily Notox Serum 50Ml,DO_NOT_BUY,0,0,4,1.0,1,0,0,4,63,100.0,14.5,none,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 0.9; promo cover required 1.0 units; base-stock required 4.3 units; current and on-order stock do not cover expected promo sales,Promo cover order gap 0 units; base-stock replenishment gap 4 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Shadow commercial pack; promo cover prioritised over base stock,,,
rejected_poor_seller,tier_5_do_not_buy,43,89076,Ahc Prep+Set Clns Foam 150Ml,DO_NOT_BUY,0,0,3,1.0,2,0,0,3,68,100.0,14.4,none,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 1.9; promo cover required 1.0 units; base-stock required 4.3 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 3 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Shadow commercial pack; promo cover prioritised over base stock,,,
rejected_poor_seller,tier_5_do_not_buy,44,94669,Jojoba Neck Lifting Con 50Ml,DO_NOT_BUY,0,0,3,1.0,2,0,0,3,66,100.0,14.4,none,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 1.9; promo cover required 1.0 units; base-stock required 4.3 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 3 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Shadow commercial pack; promo cover prioritised over base stock,,,
rejected_poor_seller,tier_5_do_not_buy,45,87463,Antipodes Spf50+ 60Ml,DO_NOT_BUY,0,0,3,1.0,2,0,0,3,66,100.0,14.4,none,,Promo demand selected by evidence weighting: flat_model_placeholder_rejected; Pre-promo demand = baseline daily rate x days until start,Projected day-one SOH before order 1.9; promo cover required 1.0 units; base-stock required 4.3 units; stock covers expected promo sales before order,Promo cover order gap 0 units; base-stock replenishment gap 3 units; raw model 0; commercial recommended promo 0 + base 0 = 0. Recommendation covers promo sales first; end-stock replenishment remains for review.,Shadow commercial pack; promo cover prioritised over base stock,,,
